Id,MSSubClass,LotFrontage,LotArea,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,GarageYrBlt,MoSold,YrSold,SalePrice,Base
1461.0,20.0,80.0,11622.0,1961.0,1961.0,882.0,896.0,896.0,1961.0,6.0,2010.0,169277.0524984,0.0
1462.0,20.0,81.0,14267.0,1958.0,1958.0,1329.0,1329.0,1329.0,1958.0,6.0,2010.0,187758.393988768,0.0
1463.0,60.0,74.0,13830.0,1997.0,1998.0,928.0,928.0,1629.0,1997.0,3.0,2010.0,183583.683569555,0.0
1464.0,60.0,78.0,9978.0,1998.0,1998.0,926.0,926.0,1604.0,1998.0,6.0,2010.0,179317.47751083,0.0
1465.0,120.0,43.0,5005.0,1992.0,1992.0,1280.0,1280.0,1280.0,1992.0,1.0,2010.0,150730.079976501,0.0
1466.0,60.0,75.0,10000.0,1993.0,1994.0,763.0,763.0,1655.0,1993.0,4.0,2010.0,177150.989247307,0.0
1468.0,60.0,63.0,8402.0,1998.0,1998.0,789.0,789.0,1465.0,1998.0,5.0,2010.0,175110.956519547,0.0
1469.0,20.0,85.0,10176.0,1990.0,1990.0,1300.0,1341.0,1341.0,1990.0,2.0,2010.0,162011.698831665,0.0
1470.0,20.0,70.0,8400.0,1970.0,1970.0,882.0,882.0,882.0,1970.0,4.0,2010.0,160726.247831419,0.0
1471.0,120.0,26.0,5858.0,1999.0,1999.0,1405.0,1337.0,1337.0,1999.0,6.0,2010.0,157933.279456005,0.0
1472.0,160.0,21.0,1680.0,1971.0,1971.0,483.0,483.0,987.0,1971.0,2.0,2010.0,145291.245020389,0.0
1473.0,160.0,21.0,1680.0,1971.0,1971.0,525.0,525.0,1092.0,1997.0,3.0,2010.0,159672.017631819,0.0
1474.0,160.0,24.0,2280.0,1975.0,1975.0,855.0,855.0,1456.0,1975.0,6.0,2010.0,164167.518301885,0.0
1475.0,120.0,24.0,2280.0,1975.0,1975.0,836.0,836.0,836.0,1975.0,6.0,2010.0,150891.638244053,0.0
1476.0,60.0,102.0,12858.0,2009.0,2010.0,1590.0,1627.0,2334.0,2009.0,1.0,2010.0,179460.96518734,0.0
1477.0,20.0,94.0,12883.0,2009.0,2010.0,1544.0,1544.0,1544.0,2009.0,6.0,2010.0,185034.62891405,0.0
1478.0,20.0,90.0,11520.0,2005.0,2005.0,1698.0,1698.0,1698.0,2005.0,6.0,2010.0,182352.192644656,0.0
1479.0,20.0,79.0,14122.0,2005.0,2006.0,1822.0,1822.0,1822.0,2005.0,2.0,2010.0,183053.458213802,0.0
1480.0,20.0,110.0,14300.0,2003.0,2004.0,2846.0,2696.0,2696.0,2003.0,6.0,2010.0,187823.339254278,0.0
1481.0,60.0,105.0,13650.0,2002.0,2002.0,1671.0,1687.0,2250.0,2002.0,6.0,2010.0,186544.114327568,0.0
1482.0,120.0,41.0,7132.0,2006.0,2006.0,1370.0,1370.0,1370.0,2006.0,4.0,2010.0,158230.77520516,0.0
1483.0,20.0,100.0,18494.0,2005.0,2005.0,1324.0,1324.0,1324.0,2005.0,1.0,2010.0,190552.829321091,0.0
1484.0,120.0,43.0,3203.0,2006.0,2006.0,1145.0,1145.0,1145.0,2006.0,1.0,2010.0,147183.67487199,0.0
1485.0,80.0,67.0,13300.0,2004.0,2004.0,384.0,744.0,1374.0,2004.0,6.0,2010.0,185855.300905493,0.0
1486.0,60.0,63.0,8577.0,2004.0,2004.0,847.0,847.0,1733.0,2004.0,4.0,2010.0,174350.470676986,0.0
1487.0,60.0,60.0,17433.0,1998.0,1998.0,1629.0,1645.0,2475.0,1998.0,1.0,2010.0,201740.620690863,0.0
1488.0,20.0,73.0,8987.0,2005.0,2006.0,1595.0,1595.0,1595.0,2005.0,5.0,2010.0,162986.378895754,0.0
1489.0,20.0,92.0,9215.0,2009.0,2010.0,1218.0,1218.0,1218.0,2009.0,4.0,2010.0,162330.199085679,0.0
1490.0,20.0,84.0,10440.0,2005.0,2005.0,1468.0,1468.0,1468.0,2005.0,5.0,2010.0,165845.938616539,0.0
1491.0,60.0,70.0,11920.0,2004.0,2004.0,831.0,831.0,1659.0,2004.0,4.0,2010.0,180929.622876974,0.0
1492.0,30.0,70.0,9800.0,1920.0,1950.0,816.0,1012.0,1012.0,1920.0,4.0,2010.0,163481.501519718,0.0
1493.0,20.0,39.0,15410.0,1974.0,2002.0,1208.0,1494.0,1494.0,1974.0,4.0,2010.0,187798.076714233,0.0
1494.0,60.0,85.0,13143.0,1993.0,1993.0,1231.0,1251.0,2349.0,1993.0,6.0,2010.0,198822.198942566,0.0
1495.0,60.0,88.0,11134.0,1992.0,1993.0,1390.0,1402.0,2225.0,1992.0,6.0,2010.0,194868.409899858,0.0
1496.0,120.0,25.0,4835.0,2004.0,2005.0,1488.0,1488.0,1488.0,2004.0,3.0,2010.0,152605.298564403,0.0
1497.0,160.0,39.0,3515.0,2004.0,2004.0,840.0,840.0,1680.0,2004.0,1.0,2010.0,147797.702836811,0.0
1498.0,160.0,30.0,3215.0,2004.0,2004.0,600.0,600.0,1200.0,2004.0,4.0,2010.0,150521.96899297,0.0
1499.0,160.0,24.0,2544.0,2004.0,2005.0,600.0,600.0,1200.0,2004.0,2.0,2010.0,146991.630153739,0.0
1500.0,160.0,24.0,2544.0,2005.0,2005.0,600.0,600.0,1236.0,2005.0,5.0,2010.0,150306.307814534,0.0
1503.0,20.0,57.0,12853.0,2010.0,2010.0,1642.0,1418.0,1418.0,2010.0,4.0,2010.0,156214.042540726,0.0
1504.0,60.0,68.0,7379.0,2000.0,2000.0,975.0,975.0,1848.0,2000.0,4.0,2010.0,171992.760735142,0.0
1505.0,20.0,80.0,8000.0,2002.0,2002.0,1492.0,1492.0,1492.0,2002.0,4.0,2010.0,173214.912549738,0.0
1507.0,60.0,80.0,10791.0,1993.0,1993.0,1280.0,1280.0,2495.0,1993.0,3.0,2010.0,190878.69508543,0.0
1509.0,60.0,80.0,9600.0,1971.0,1971.0,715.0,930.0,1645.0,1971.0,6.0,2010.0,191849.439072822,0.0
1510.0,20.0,80.0,9600.0,1966.0,1966.0,1232.0,1232.0,1232.0,1966.0,4.0,2010.0,176363.773907793,0.0
1511.0,20.0,90.0,9900.0,1966.0,1966.0,1209.0,1209.0,1209.0,1966.0,4.0,2010.0,176954.185412429,0.0
1512.0,20.0,88.0,9680.0,1967.0,1967.0,1510.0,1510.0,1510.0,1967.0,4.0,2010.0,176521.216975696,0.0
1515.0,50.0,68.0,9724.0,1952.0,2002.0,1140.0,1929.0,2461.0,1994.0,3.0,2010.0,175502.918109444,0.0
1516.0,50.0,120.0,17360.0,1949.0,1950.0,782.0,1019.0,1556.0,1949.0,1.0,2010.0,188321.073833569,0.0
1517.0,85.0,75.0,11380.0,1966.0,2008.0,1080.0,1128.0,1128.0,1966.0,1.0,2010.0,163276.324450004,0.0
1518.0,90.0,70.0,8267.0,1958.0,1958.0,1604.0,1604.0,1604.0,1958.0,3.0,2010.0,185911.366293097,0.0
1519.0,20.0,70.0,8197.0,2003.0,2009.0,1480.0,1480.0,1480.0,2003.0,2.0,2010.0,171392.830997252,0.0
1521.0,20.0,87.0,10725.0,1959.0,1959.0,1206.0,1206.0,1206.0,1959.0,5.0,2010.0,179682.709603774,0.0
1522.0,20.0,80.0,10032.0,1959.0,1959.0,1244.0,1580.0,1580.0,1956.0,6.0,2010.0,179423.751581665,0.0
1523.0,50.0,60.0,8382.0,1956.0,1956.0,832.0,832.0,1337.0,1956.0,2.0,2010.0,171756.918091777,0.0
1524.0,20.0,60.0,10950.0,1952.0,1952.0,864.0,1064.0,1064.0,1952.0,5.0,2010.0,166849.638174419,0.0
1525.0,20.0,119.0,10895.0,1955.0,1955.0,972.0,972.0,972.0,1955.0,6.0,2010.0,181122.168676666,0.0
1526.0,190.0,70.0,13587.0,1958.0,1958.0,988.0,988.0,988.0,1958.0,4.0,2010.0,170934.462746566,0.0
1527.0,30.0,65.0,7898.0,1920.0,1994.0,576.0,985.0,985.0,1989.0,4.0,2010.0,159738.292580329,0.0
1528.0,50.0,60.0,8064.0,1948.0,2004.0,816.0,816.0,1224.0,1950.0,5.0,2010.0,174445.759557658,0.0
1529.0,20.0,81.0,7635.0,1960.0,1960.0,1175.0,1175.0,1175.0,1960.0,6.0,2010.0,174706.363659627,0.0
1530.0,20.0,80.0,9760.0,1963.0,1984.0,1395.0,1395.0,1395.0,1963.0,5.0,2010.0,164507.672539365,0.0
1531.0,50.0,60.0,4800.0,1900.0,1954.0,709.0,1157.0,1844.0,1900.0,1.0,2010.0,163602.512172832,0.0
1533.0,20.0,69.0,5805.0,1957.0,1957.0,1347.0,1347.0,1347.0,1957.0,6.0,2010.0,171104.853481351,0.0
1534.0,45.0,50.0,6900.0,1938.0,2000.0,827.0,827.0,1251.0,1938.0,1.0,2010.0,167735.39270528,0.0
1535.0,50.0,69.0,11851.0,1948.0,2009.0,1027.0,1027.0,1633.0,1948.0,6.0,2010.0,183003.613338104,0.0
1537.0,30.0,68.0,9656.0,1923.0,1970.0,678.0,832.0,832.0,1928.0,6.0,2010.0,165407.889104689,0.0
1538.0,70.0,60.0,9600.0,1900.0,2003.0,930.0,930.0,1566.0,1930.0,4.0,2010.0,176363.773907793,0.0
1539.0,70.0,50.0,9000.0,1890.0,2002.0,346.0,1157.0,2268.0,2003.0,4.0,2010.0,175182.950898522,0.0
1541.0,70.0,60.0,10560.0,1922.0,1994.0,738.0,868.0,1470.0,1970.0,6.0,2010.0,167186.995771991,0.0
1542.0,50.0,53.0,5830.0,1950.0,1997.0,988.0,1030.0,1612.0,1950.0,3.0,2010.0,167839.376779276,0.0
1544.0,30.0,50.0,5000.0,1925.0,1950.0,765.0,765.0,765.0,1926.0,4.0,2010.0,154034.917445551,0.0
1545.0,50.0,50.0,6000.0,1939.0,1950.0,608.0,608.0,1132.0,1939.0,4.0,2010.0,156002.955794336,0.0
1546.0,50.0,50.0,6000.0,1940.0,1950.0,572.0,848.0,1196.0,1973.0,3.0,2010.0,168173.94329857,0.0
1547.0,50.0,53.0,6360.0,1942.0,1950.0,835.0,955.0,1453.0,1942.0,3.0,2010.0,168882.437104132,0.0
1548.0,50.0,50.0,6000.0,1948.0,1950.0,780.0,780.0,1416.0,1948.0,3.0,2010.0,168173.94329857,0.0
1549.0,50.0,52.0,6240.0,1936.0,1980.0,528.0,548.0,1040.0,1979.0,5.0,2010.0,157580.177551642,0.0
1550.0,50.0,52.0,6240.0,1930.0,1950.0,928.0,928.0,1536.0,1930.0,3.0,2010.0,181922.15256011,0.0
1551.0,30.0,51.0,6120.0,1923.0,1950.0,1124.0,1068.0,1068.0,1923.0,3.0,2010.0,155134.227842592,0.0
1552.0,50.0,57.0,8094.0,1915.0,1950.0,888.0,888.0,1962.0,1915.0,6.0,2010.0,188885.573319552,0.0
1554.0,70.0,52.0,3068.0,1920.0,1993.0,662.0,662.0,1324.0,1920.0,2.0,2010.0,161298.762306335,0.0
1555.0,20.0,100.0,15263.0,1959.0,1959.0,1422.0,1675.0,1675.0,1959.0,5.0,2010.0,188613.66763056,0.0
1556.0,50.0,72.0,10632.0,1917.0,1950.0,689.0,725.0,1224.0,1917.0,1.0,2010.0,175080.111822945,0.0
1558.0,50.0,65.0,6001.0,1940.0,1950.0,600.0,600.0,919.0,1940.0,3.0,2010.0,168175.911336919,0.0
1560.0,190.0,60.0,6048.0,1910.0,1950.0,856.0,936.0,1680.0,1910.0,6.0,2010.0,158307.206742274,0.0
1562.0,20.0,65.0,7800.0,1966.0,2008.0,864.0,892.0,892.0,1966.0,6.0,2010.0,175031.089987177,0.0
1563.0,20.0,65.0,7832.0,1968.0,1968.0,864.0,864.0,864.0,1969.0,5.0,2010.0,160713.294602908,0.0
1565.0,60.0,86.0,11227.0,1968.0,1968.0,720.0,720.0,1440.0,1968.0,3.0,2010.0,191736.7598055,0.0
1567.0,30.0,94.0,9259.0,1927.0,1950.0,660.0,756.0,756.0,1945.0,6.0,2010.0,164626.577880222,0.0
1569.0,50.0,124.0,18600.0,1938.0,1990.0,972.0,1052.0,1610.0,1938.0,6.0,2010.0,209561.784211885,0.0
1570.0,20.0,65.0,11479.0,1950.0,1987.0,663.0,1074.0,1074.0,1987.0,6.0,2010.0,182271.503072356,0.0
1571.0,50.0,50.0,9350.0,1947.0,1979.0,756.0,1169.0,1531.0,1947.0,6.0,2010.0,178081.549427793,0.0
1572.0,20.0,75.0,9525.0,1954.0,1998.0,1172.0,1172.0,1172.0,1954.0,6.0,2010.0,178425.956138831,0.0
1573.0,20.0,44.0,17485.0,2009.0,2010.0,1508.0,1508.0,1508.0,2009.0,1.0,2010.0,162015.318511503,0.0
1575.0,20.0,83.0,11980.0,1987.0,1987.0,1433.0,1433.0,1433.0,1987.0,6.0,2010.0,156705.730169433,0.0
1576.0,60.0,87.0,12361.0,1993.0,1993.0,946.0,964.0,1802.0,2000.0,5.0,2010.0,182902.420342386,0.0
1577.0,20.0,64.0,7360.0,2010.0,2010.0,1222.0,1222.0,1222.0,2009.0,3.0,2010.0,157574.595395085,0.0
1578.0,50.0,82.0,14235.0,1900.0,1993.0,676.0,831.0,1445.0,1957.0,3.0,2010.0,184380.739100813,0.0
1579.0,85.0,82.0,11105.0,1996.0,1996.0,870.0,965.0,965.0,1998.0,7.0,2010.0,169364.469225677,0.0
1581.0,20.0,38.0,15240.0,1977.0,2004.0,1026.0,1026.0,1026.0,1977.0,6.0,2010.0,189673.295302136,0.0
1582.0,20.0,68.0,7480.0,1972.0,1972.0,876.0,876.0,876.0,1977.0,6.0,2010.0,174401.317715566,0.0
1583.0,20.0,80.0,10389.0,2003.0,2003.0,1978.0,1978.0,1978.0,2003.0,5.0,2010.0,179021.448718583,0.0
1584.0,60.0,75.0,9375.0,1997.0,1997.0,1040.0,1044.0,2098.0,1997.0,4.0,2010.0,189196.845337149,0.0
1586.0,30.0,67.0,8777.0,1945.0,2007.0,0.0,640.0,640.0,1945.0,4.0,2010.0,161468.198288911,0.0
1587.0,20.0,68.0,8842.0,1954.0,1954.0,381.0,992.0,992.0,1954.0,1.0,2010.0,171557.32317862,0.0
1588.0,20.0,60.0,10044.0,1968.0,1968.0,1196.0,1196.0,1196.0,1968.0,6.0,2010.0,179447.36804185,0.0
1589.0,50.0,89.0,11792.0,1948.0,1950.0,744.0,792.0,1120.0,1956.0,6.0,2010.0,169611.619017694,0.0
1590.0,80.0,65.0,6305.0,1975.0,1975.0,1008.0,1096.0,1096.0,1975.0,6.0,2010.0,172088.872655744,0.0
1592.0,30.0,67.0,4853.0,1924.0,1999.0,1107.0,1296.0,1296.0,1979.0,5.0,2010.0,154850.508361878,0.0
1596.0,50.0,78.0,10452.0,1941.0,1985.0,1528.0,1225.0,2133.0,1941.0,7.0,2010.0,194631.100299584,0.0
1597.0,90.0,78.0,15600.0,1950.0,1991.0,1032.0,1102.0,2177.0,1950.0,3.0,2010.0,213618.871562568,0.0
1598.0,80.0,85.0,19645.0,1994.0,2007.0,423.0,896.0,1652.0,1994.0,6.0,2010.0,198342.504228533,0.0
